[ 2021-03-22 02:29:57,827 ] Asset loading complete
[ 2021-03-22 03:04:27,579 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 03:04:27,621 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 03:04:28,537 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 03:04:57,686 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-22 03:04:57,696 ] Disconnected from gameserver
[ 2021-03-22 18:32:39,032 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 21:19:50,374 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-23 22:29:47,036 ] Asset loading complete
[ 2021-03-23 22:34:13,666 ] News query failed: "Unrecognized event news."
[ 2021-03-23 22:34:15,032 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-23 22:34:15,134 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-23 22:34:16,057 ] News query failed: "Unrecognized event news."
[ 2021-03-23 22:34:19,449 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2021-03-23 22:34:20,449 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-23 22:34:24,798 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2021-03-23 22:34:24,828 ] Disconnected from gameserver
[ 2021-03-23 22:34:26,100 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-23 22:34:26,101 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-23 22:34:27,215 ] News query failed: "Unrecognized event news."
[ 2021-03-23 22:34:30,448 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2021-03-23 22:34:31,448 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-23 22:34:35,751 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2021-03-23 22:34:35,761 ] Disconnected from gameserver
[ 2021-03-23 22:34:37,015 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-23 22:34:37,022 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-23 22:34:37,972 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-23 22:34:40,234 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-23 22:36:46,795 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-23 22:36:47,602 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Druid Sample" )
[ 2021-03-23 22:36:47,605 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-23 22:36:47,643 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-23 22:36:48,559 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-23 22:37:17,841 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-23 22:37:17,856 ] Disconnected from gameserver
[ 2021-03-23 22:41:08,767 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-23 22:41:23,616 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Sorcerer Sample" )
[ 2021-03-23 22:41:23,619 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-23 22:41:24,566 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-23 22:41:25,736 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 16:45:14,501 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 16:45:16,784 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-24 16:45:16,816 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-24 16:45:16,852 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-24 16:45:20,581 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 16:45:22,836 ] Failed to write minimap tile at coordinate 32256 , 32000 , 7 to disk due to: I/O error on file 'C:/Users/Admin/Desktop/Tibia Client 12.64/Tibia 12.64/minimap/Minimap_Color_32256_32000_7.png': Could not open file.
[ 2021-03-24 16:47:31,913 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-24 16:47:32,006 ] Disconnected from gameserver
[ 2021-03-24 16:47:32,087 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 16:47:36,252 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Sorcerer Sample" )
[ 2021-03-24 16:47:36,254 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-24 16:47:36,296 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-24 16:47:37,275 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 16:50:07,657 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-24 16:50:07,745 ] Disconnected from gameserver
[ 2021-03-24 16:50:07,818 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 16:50:20,707 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 16:50:21,455 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Carlosr" )
[ 2021-03-24 16:50:21,456 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-24 16:50:21,489 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-24 16:50:22,590 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 16:52:58,317 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-24 16:52:58,409 ] Disconnected from gameserver
[ 2021-03-24 16:52:58,483 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 16:52:59,876 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Carlosr" )
[ 2021-03-24 16:52:59,880 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-24 16:52:59,917 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-24 16:53:00,833 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 16:57:32,922 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-24 16:57:33,016 ] Disconnected from gameserver
[ 2021-03-24 16:57:33,092 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 16:57:39,524 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 16:57:41,381 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-24 16:57:41,386 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-24 16:57:41,422 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-24 16:57:42,322 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 17:44:41,024 ] Asset loading complete
[ 2021-03-24 17:44:47,175 ] News query failed: "Unrecognized event news."
[ 2021-03-24 17:44:50,484 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-24 17:44:50,492 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "Venezuela"
[ 2021-03-24 17:44:50,659 ] Connected to gameserver  "tcp://80.193.199.141:7172" "Venezuela"
[ 2021-03-24 17:44:51,930 ] News query failed: "Unrecognized event news."
[ 2021-03-24 17:45:02,507 ] Connection to gameserver  "tcp://80.193.199.141:7172" "Venezuela"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-24 17:45:02,616 ] Disconnected from gameserver
[ 2021-03-24 17:45:02,874 ] News query failed: "Unrecognized event news."
[ 2021-03-24 17:45:12,343 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-24 17:45:12,346 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "Venezuela"
[ 2021-03-24 17:45:12,441 ] Connected to gameserver  "tcp://80.193.199.141:7172" "Venezuela"
[ 2021-03-24 17:45:13,291 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 18:16:00,116 ] Connection to gameserver  "tcp://80.193.199.141:7172" "Venezuela"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-24 18:16:00,241 ] Disconnected from gameserver
[ 2021-03-24 18:16:00,337 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 21:21:39,079 ] Asset loading complete
[ 2021-03-24 21:21:44,528 ] News query failed: "Unrecognized event news."
[ 2021-03-24 21:21:59,677 ] News query failed: "Unrecognized event news."
[ 2021-03-24 21:22:02,833 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Carlosr" )
[ 2021-03-24 21:22:02,839 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "Venezuela"
[ 2021-03-24 21:22:02,877 ] Connected to gameserver  "tcp://80.193.199.141:7172" "Venezuela"
[ 2021-03-24 21:22:03,919 ] News query failed: "Unrecognized event news."
[ 2021-03-24 21:24:25,354 ] Connection to gameserver  "tcp://80.193.199.141:7172" "Venezuela"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-24 21:24:25,453 ] Disconnected from gameserver
[ 2021-03-24 21:24:25,542 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 21:27:20,015 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 21:27:50,683 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Carlosr" )
[ 2021-03-24 21:27:50,686 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "Venezuela"
[ 2021-03-24 21:27:51,646 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 21:27:55,046 ] Connection to gameserver  "tcp://80.193.199.141:7172" "Venezuela"  was disconnected ( "Connection refused" )
[ 2021-03-24 21:27:56,046 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "Venezuela"
[ 2021-03-24 21:27:58,637 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 21:28:05,724 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Carlosr" )
[ 2021-03-24 21:28:05,726 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "Venezuela"
[ 2021-03-24 21:28:05,779 ] Connected to gameserver  "tcp://80.193.199.141:7172" "Venezuela"
[ 2021-03-24 21:28:06,695 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 21:31:34,054 ] Connection to gameserver  "tcp://80.193.199.141:7172" "Venezuela"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-24 21:31:34,157 ] Disconnected from gameserver
[ 2021-03-24 21:31:34,245 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-24 21:38:45,904 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
